last_price,bid_price,ask_price,bid_ask_spread,high_price,low_price,volume,vwap,rsi_14,macd,bb_upper,bb_middle,bb_lower,volume_acceleration,price_change_5m,momentum_1m,symbol
4.895,4.87,4.92,0.05,5.0,4.43,86297.0,4.7735,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YSG
3.04,3.04,3.05,0.01,3.77,2.66,9684773.0,3.1135,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NXTT
4.39,4.38,4.4,0.02,4.48,4.24,616303.0,4.3649,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POET
0.92,0.91,0.9282,0.0182,0.9521,0.9,102508.0,0.9229,50.0,1.110223e-16,0.0,0.0,0.0,0.0,0.0,0.0,WINT
3.575,3.57,3.58,0.01,3.5854,3.56,72816.0,3.5734,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CXE
3.7436,3.71,3.73,0.02,3.7436,3.61,27331.0,3.6949,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SLND
0.628,0.6201,0.628,0.0079,0.628,0.6,60563.0,0.6152,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGH
1.37,1.36,1.4,0.04,1.381,1.36,10883.0,1.3686,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HUDI
2.15,2.13,2.17,0.04,2.25,2.1,95301.0,2.1338,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRO
1.5291,1.51,1.54,0.03,1.5995,1.44,12368.0,1.5258,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BOLD
4.04,4.04,4.05,0.01,4.3,3.995,150057.0,4.0726,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARQ
4.09,4.03,4.08,0.05,4.22,4.0,86970.0,4.1882,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TIVC
1.85,1.84,1.85,0.01,1.87,1.76,500050.0,1.8031,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRCC
2.3776,2.36,2.38,0.02,2.39,2.3,22157.0,2.3513,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ALUR
0.6501,0.65,0.675,0.025,0.76,0.65,38622.0,0.7102,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRRX
0.87,0.85,0.885,0.035,0.92,0.8125,29379.0,0.8477,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BANL
2.5,2.47,2.51,0.04,2.73,2.48,154313.0,2.6382,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HUBC
1.24,1.23,1.25,0.02,1.2602,1.18,26046.0,1.2311,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SEED
4.335,4.33,4.34,0.01,4.645,4.28,448330.0,4.3928,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMLX
1.2586,1.23,1.29,0.06,1.3068,1.2338,15462.0,1.2514,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LVTX
1.36,1.36,1.5,0.14,1.51,1.35,15384.0,1.403,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LBGJ
0.835001,0.8349,0.8406,0.0057,0.8568,0.76,579151.0,0.8056,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RVPH
1.66,1.65,1.67,0.02,1.73,1.65,73543.0,1.6801,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FARM
3.93,3.91,3.93,0.02,4.8,3.875,270800.0,4.0492,50.0,4.440892e-16,0.0,0.0,0.0,0.0,0.0,0.0,ATXS
2.93,2.91,2.95,0.04,2.9982,2.86,15006.0,2.9244,50.0,-4.440892e-16,0.0,0.0,0.0,0.0,0.0,0.0,PYPD
1.9154,1.91,1.92,0.01,2.034,1.865,262131.0,1.9254,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NKTX
0.3865,0.384,0.389,0.005,0.6789,0.3101,34922664.0,0.5024,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TNMG
0.82495,0.82,0.8299,0.0099,0.888,0.6,5068555.0,0.7732,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BW
1.34,1.33,1.34,0.01,1.41,1.24,474437.0,1.3149,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INBS
0.4116,0.4104,0.4116,0.0012,0.422699,0.4045,190992.0,0.4121,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LYEL
0.65,0.615,0.65,0.035,0.65,0.6004,19222.0,0.6226,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HTCR
0.9499,0.949,0.9499,0.0009,0.9899,0.91,843246.0,0.9542,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ITRM
