last_price,bid_price,ask_price,bid_ask_spread,high_price,low_price,volume,vwap,rsi_14,macd,bb_upper,bb_middle,bb_lower,volume_acceleration,price_change_5m,momentum_1m,symbol
17.37,17.36,17.37,0.01,17.615,17.12,609895.0,17.3427,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACAD
50.55,50.55,50.56,0.01,50.61,50.53,3930903.0,50.5702,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JAAA
30.46,30.45,30.47,0.02,30.48,29.7,1999093.0,30.1429,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZR
23.7389,23.73,23.74,0.01,23.7689,23.025,7479059.0,23.3626,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MSTY
6.975,6.97,6.98,0.01,7.06,6.45,11067873.0,6.7864,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EOSE
9.95,9.95,9.96,0.01,10.465,9.29,2759936.0,10.0686,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTM
23.87,23.86,23.87,0.01,24.3777,23.775,2964460.0,24.0398,50.0,3.5527137e-15,0.0,0.0,0.0,0.0,0.0,0.0,AI
172.3,172.21,172.42,0.21,173.62,166.8,1126530.0,171.3939,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRGP
309.98,309.92,310.04,0.12,310.34,300.04,804568.0,306.2874,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROK
33.29,33.28,33.29,0.01,33.39,33.29,798622.0,33.355,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HTRB
157.105,157.04,157.17,0.13,158.655,147.9,4833260.0,155.4186,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NRG
25.83,25.82,25.84,0.02,26.63,25.58,682815.0,25.9363,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAE
82.3151,82.31,82.32,0.01,82.39,82.3,2691113.0,82.3449,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SHY
48.295,48.29,48.3,0.01,49.085,47.75,2177415.0,48.1677,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GFL
18.67,18.66,18.68,0.02,18.83,18.4,1367132.0,18.6642,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EYE
18.4701,18.47,18.48,0.01,18.81,18.41,8010649.0,18.5588,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SDS
72.035,72.03,72.04,0.01,72.48,69.96,13434547.0,71.4754,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEE
18.87,18.86,18.88,0.02,18.93,18.4217,611542.0,18.7536,50.0,-3.5527137e-15,0.0,0.0,0.0,0.0,0.0,0.0,PAGP
48.83,48.76,48.9,0.14,49.25,48.2522,549986.0,48.7697,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACIW
50.31,50.27,50.32,0.05,50.45,48.97,713023.0,49.9397,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MPLX
28.26,28.25,28.26,0.01,28.96,28.15,655795.0,28.4536,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CTRE
7.9,7.89,7.9,0.01,8.16,7.65,567415.0,7.8136,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRFS
7.565,7.56,7.57,0.01,7.64,7.35,3402151.0,7.4917,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TDOC
21.0,20.99,21.03,0.04,21.694,20.79,672585.0,21.1123,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TVTX
56.42,56.38,56.44,0.06,57.2299,55.03,1225242.0,56.4746,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LSCC
56.81,56.79,56.83,0.04,57.04,55.73,1156970.0,56.5911,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EIX
262.72,262.7,262.74,0.04,263.5994,260.39,4641429.0,262.1704,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JPM
291.675,291.12,292.23,1.11,298.72,278.0001,805860.0,290.9368,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MNDY
23.01,23.01,23.02,0.01,23.455,22.9001,9122124.0,23.1703,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PAAS
9.98,9.97,9.99,0.02,9.99,9.97,2991192.0,9.9838,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QSEA
69.145,69.14,69.15,0.01,69.69,68.87,7544150.0,69.1762,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KO
15.655,15.65,15.66,0.01,15.77,15.3,1618342.0,15.6372,50.0,-1.7763568e-15,0.0,0.0,0.0,0.0,0.0,0.0,TRIP
188.76,188.7,188.87,0.17,190.58,187.56,638998.0,188.7135,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STZ
225.62,225.52,225.78,0.26,229.8,223.71,608592.0,225.8529,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SBAC
31.91,31.9,31.91,0.01,32.03,31.55,3751023.0,31.7857,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPD
17.445,17.44,17.45,0.01,17.89,17.23,8789789.0,17.425,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TEVA
31.03,31.0,31.08,0.08,32.95,30.52,2380869.0,31.1814,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CYTK
7.69,7.69,7.7,0.01,7.75,7.65,4350580.0,7.7265,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UMC
36.8192,36.8,36.82,0.02,37.319,35.3301,763597.0,36.4832,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,METU
101.24,101.21,101.27,0.06,103.31,100.78,1946800.0,101.5195,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ED
116.2,116.1,116.19,0.09,118.08,113.395,3619292.0,116.08,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDOG
9.0492,9.04,9.05,0.01,9.69,8.87,669239.0,9.0712,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AVDL
40.31,40.28,40.33,0.05,42.07,40.31,607847.0,40.8897,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RVMD
61.815,61.81,61.82,0.01,62.24,61.605,10135337.0,61.9791,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CSCO
90.255,90.25,90.26,0.01,90.45,90.25,3417628.0,90.3622,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EMB
310.41,310.23,310.59,0.36,311.84,304.87,948001.0,309.4176,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LULU
55.09,55.08,55.1,0.02,55.89,54.815,4022603.0,55.0941,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O
17.64,17.64,17.65,0.01,18.005,17.58,808658.0,17.7403,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EGO
10.96,10.95,10.96,0.01,10.98,10.6784,740304.0,10.8232,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HE
7.7903,7.71,7.8,0.09,9.2,6.5534,710536.0,7.6041,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TZUP
289.99,289.92,290.06,0.14,291.67,288.45,878540.0,289.8686,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAP
9.1509,9.15,9.16,0.01,9.38,8.67,5948651.0,9.1349,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LABD
42.07,42.06,42.07,0.01,42.1,41.875,677068.0,41.9966,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IQLT
19.96,19.96,19.97,0.01,20.155,19.58,999384.0,19.9339,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMKR
5.428,5.41,5.43,0.02,5.435,4.825,834510.0,5.131,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CVRX
50.11,50.11,50.13,0.02,50.31,49.13,773070.0,49.7062,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VIXY
66.19,66.06,66.27,0.21,68.35,66.0267,1077034.0,66.7749,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSM
25.625,25.62,25.63,0.01,25.67,25.57,615023.0,25.6199,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TGI
96.59,96.55,96.61,0.06,96.72,94.269,1368227.0,95.9694,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WYNN
