last_price,bid_price,ask_price,bid_ask_spread,high_price,low_price,volume,vwap,rsi_14,macd,bb_upper,bb_middle,bb_lower,volume_acceleration,price_change_5m,momentum_1m,symbol
30.8299,30.73,30.83,0.1,30.83,30.69,4408899.0,30.6904,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XBOC
11.345,11.34,11.35,0.01,11.4,11.215,906592.0,11.2944,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SONO
1.3901,1.39,1.4,0.01,1.62,1.25,48644584.0,1.4613,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRYP
21.78,21.76,21.77,0.01,21.795,21.01,3832840.0,21.3578,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ETHE
10.015,10.01,10.02,0.01,10.02,10.01,194991.0,10.0159,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IPODU
14.41,14.4,14.42,0.02,14.5491,14.25,276004.0,14.4296,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BVN
49.585,49.58,49.59,0.01,49.59,49.5701,1804982.0,49.5834,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PULS
3.8,3.8,3.81,0.01,3.84,3.62,27384546.0,3.7401,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WULF
0.6751,0.6751,0.6776,0.0025,0.74,0.6573,592269.0,0.6811,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NINE
23.85,23.85,23.89,0.04,24.55,23.84,2035575.0,24.1277,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRND
83.68,83.64,83.7,0.06,83.88,79.93,1273598.0,82.343,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BG
4.04,4.04,4.06,0.02,4.185,3.8987,185250.0,3.9954,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KOD
1.06,1.05,1.06,0.01,1.1,0.8598,1995662.0,1.0365,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NRGV
1.64,1.64,1.65,0.01,1.65,1.6,2006121.0,1.6239,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SID
1.575,1.57,1.58,0.01,1.595,1.5,1493825.0,1.5472,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARBE
22.999,22.99,23.0,0.01,23.03,22.9814,206842.0,22.9998,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IBDU
56.68,56.65,56.72,0.07,58.09,56.41,551295.0,56.8386,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HRB
13.975,13.97,13.98,0.01,14.01,13.6,7297623.0,13.8482,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PR
30.405,30.4,30.41,0.01,30.45,30.33,2012102.0,30.3964,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PFF
26.66,26.66,26.67,0.01,26.7,26.5899,790377.0,26.6589,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOG
117.94,117.85,118.03,0.18,118.21,115.51,291079.0,117.2024,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EHC
137.11,137.04,137.12,0.08,137.63,133.75,2992235.0,136.5117,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABNB
9.23,9.22,9.23,0.01,9.345,9.14,21812460.0,9.2329,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WBD
98.085,97.94,98.23,0.29,98.27,92.63,747747.0,96.8056,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FWONK
8.715,8.71,8.72,0.01,8.81,8.565,525165.0,8.7065,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WB
12.74,12.71,12.77,0.06,12.86,12.5,228539.0,12.713,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CEPO
89.995,89.92,90.05,0.13,90.54,87.68,1028761.0,89.6674,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOCU
27.395,27.39,27.4,0.01,27.4299,27.085,548778.0,27.2768,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DFAE
0.486,0.4841,0.4876,0.0035,0.4879,0.4592,49001.0,0.4813,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CMBM
20.24,20.23,20.24,0.01,20.33,19.5514,1117054.0,19.9701,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SBS
68.4001,68.4,68.42,0.02,69.92,67.78,1312425.0,68.4386,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAS
0.29,0.29,0.3053,0.0153,0.3229,0.29,210225.0,0.3034,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASG
1.58,1.57,1.58,0.01,1.61,1.52,273966.0,1.5666,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PRQR
1.92,1.92,2.0,0.08,2.06,1.823,51848.0,2.0043,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SYNX
75.765,75.76,75.77,0.01,76.27,75.03,7362180.0,75.758,50.0,-1.4210855e-14,0.0,0.0,0.0,0.0,0.0,0.0,C
1.36,1.36,1.37,0.01,1.47,1.35,574778.0,1.3722,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OABI
0.4365,0.43,0.4429,0.0129,0.4836,0.43,49468.0,0.4446,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CETY
0.7188,0.7188,0.75,0.0312,0.79,0.6921,384638.0,0.7511,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SISI
44.39,44.37,44.41,0.04,44.83,43.73,1460495.0,44.5127,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CART
164.115,164.05,164.18,0.13,164.94,161.09,381701.0,163.9367,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TKO
4.51,4.5,4.51,0.01,4.59,4.14,2139686.0,4.4453,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SFIX
10.2,10.19,10.25,0.06,10.4893,9.55,754815.0,9.9368,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RIOX
0.5,0.5,0.5053,0.0053,0.5239,0.47,1097349.0,0.4979,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GORO
96.989,96.97,96.99,0.02,97.09,96.15,183781.0,96.8038,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AVUS
3.83,3.83,3.86,0.03,4.18,3.82,192228.0,3.9676,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SLN
0.15025,0.1493,0.1512,0.0019,0.17,0.146,151934.0,0.1587,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GORV
15.685,15.68,15.69,0.01,15.77,15.3,1638896.0,15.6375,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIP
24.0201,24.02,24.03,0.01,25.23,23.89,96193624.0,24.4427,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SQQQ
65.735,65.72,65.75,0.03,65.775,65.555,145959.0,65.6846,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ALE
59.56,59.54,59.58,0.04,60.02,59.34,515880.0,59.7135,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAY
8.95,8.94,8.95,0.01,8.985,8.735,180810.0,8.8994,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBPH
83.79,83.75,83.83,0.08,84.56,81.77,1845854.0,83.443,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENTG
0.4296,0.414,0.4392,0.0252,0.4699,0.42,56263.0,0.4358,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMZE
42.66,42.65,42.66,0.01,42.8645,42.47,881072.0,42.6213,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SPYD
25.19,25.18,25.2,0.02,25.275,24.49,810342.0,24.9796,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOG
1.16,1.16,1.17,0.01,1.24,1.14,512833.0,1.1626,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACRV
25.965,25.95,25.98,0.03,26.165,24.43,2020626.0,25.6557,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ALGM
8.13,8.13,8.14,0.01,8.195,7.88,738824.0,8.0783,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARCO
2.5209,2.52,2.53,0.01,2.62,2.328,11165461.0,2.4742,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IBRX
8.4722,8.44,8.49,0.05,8.49,8.42,140755.0,8.4491,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VKI
